Meta_Feature,Vezes_Selecionada
f1.max,3
f1.mean,3
cor.min,3
cov.max,3
leaves_corrob.max,3
linear_discr.kurtosis,3
leaves_homo.kurtosis,3
mut_inf.max,3
nodes_per_level.skewness,3
naive_bayes.sd,3
naive_bayes.min,3
sparsity.min,3
var_importance.mean,3
joint_ent.max,2
eigenvalues.kurtosis,2
cov.iq_range,2
eigenvalues.sd,2
attr_conc.max,2
attr_ent.kurtosis,2
n1,2
n2.kurtosis,2
n2.mean,2
mut_inf.sd,2
n2.skewness,2
mut_inf.min,2
l1.max,2
iq_range.sd,2
leaves_homo.max,2
leaves_per_class.max,2
leaves_corrob.min,2
min.mean,2
mad.skewness,2
mean.skewness,2
linear_discr.min,2
kurtosis.kurtosis,2
mut_inf.mean,2
median.skewness,2
t4,2
sparsity.sd,2
var_importance.iq_range,2
attr_ent.iq_range,2
p_trace,2
range.skewness,2
n3.max,2
nodes_repeated.kurtosis,2
naive_bayes.mean,2
leaves_branch.skewness,2
cor.skewness,2
class_conc.min,2
cor.iq_range,2
can_cor.max,2
n3.skewness,2
nodes_per_inst,2
nodes_per_level.kurtosis,2
t3,2
tree_imbalance.skewness,2
cor.max,2
elite_nn.min,2
cov.kurtosis,2
hubs.iq_range,2
kurtosis.min,2
kurtosis.max,2
nr_attr,2
nr_inst,2
n2.sd,2
skewness.min,2
one_nn.skewness,2
attr_conc.sd,2
tree_imbalance.iq_range,2
var_importance.sd,2
l3.iq_range,2
linear_discr.skewness,2
mean.kurtosis,2
mut_inf.skewness,2
kurtosis.iq_range,1
c1,1
density,1
attr_conc.median,1
best_node.sd,1
eigenvalues.skewness,1
f1.skewness,1
leaves_per_class.iq_range,1
leaves_per_class.min,1
min.max,1
linear_discr.sd,1
min.min,1
hubs.mean,1
leaves_branch.kurtosis,1
sparsity.iq_range,1
tree_shape.skewness,1
attr_conc.kurtosis,1
attr_ent.max,1
attr_conc.skewness,1
var_importance.median,1
attr_ent.mean,1
can_cor.iq_range,1
attr_ent.sd,1
best_node.kurtosis,1
best_node.min,1
f1.iq_range,1
elite_nn.skewness,1
elite_nn.sd,1
elite_nn.max,1
cls_coef,1
f4.mean,1
var_importance.kurtosis,1
random_node.sd,1
class_conc.mean,1
class_conc.max,1
can_cor.mean,1
nr_disc,1
n3.sd,1
nodes_repeated.skewness,1
one_nn.kurtosis,1
one_nn.max,1
max.iq_range,1
lsc,1
leaves_per_class.skewness,1
leaves_branch.max,1
l1.iq_range,1
leaves,1
iq_range.skewness,1
iq_range.kurtosis,1
f3.mean,1
hubs.max,1
n3.kurtosis,1
n2.iq_range,1
min.kurtosis,1
nodes_per_level.iq_range,1
min.sd,1
min.skewness,1
ns_ratio,1
nr_outliers,1
random_node.kurtosis,1
skewness.mean,1
skewness.skewness,1
skewness.sd,1
tree_imbalance.sd,1
tree_shape.kurtosis,1
var_importance.max,1
worst_node.kurtosis,1
worst_node.skewness,1
attr_conc.iq_range,1
attr_conc.min,1
best_node.iq_range,1
best_node.skewness,1
class_conc.skewness,1
cor.mean,1
eigenvalues.max,1
elite_nn.iq_range,1
elite_nn.kurtosis,1
eq_num_attr,1
f1.min,1
f4.max,1
hubs.kurtosis,1
hubs.min,1
joint_ent.iq_range,1
joint_ent.sd,1
joint_ent.skewness,1
l2.max,1
leaves_corrob.mean,1
leaves_homo.min,1
linear_discr.iq_range,1
linear_discr.max,1
n4.sd,1
n4.skewness,1
naive_bayes.iq_range,1
naive_bayes.kurtosis,1
nodes_per_attr,1
nodes_repeated.max,1
nr_bin,1
nr_cor_attr,1
range.iq_range,1
sparsity.skewness,1
tree_depth.kurtosis,1
tree_imbalance.mean,1
tree_shape.iq_range,1
tree_shape.sd,1
var_importance.skewness,1
