feature,imp_RF,corr_max_V4,correlata_V4,motivo
sd.min,0.006815771557828787,0.8318062985405278,cov.max,Redundante (cortada no filtro de correlacao V3)
n2.median,0.006348377738308086,0.9558758620824801,n2.mean,Redundante (cortada no filtro de correlacao V3)
t_mean.max,0.006155778679007102,0.8736186255832004,iq_range.sd,Redundante (cortada no filtro de correlacao V3)
mut_inf.skewness,0.005511168178075062,0.8209942095255873,mut_inf.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
can_cor.median,0.005507190553622351,0.9873361234484709,can_cor.mean,Redundante (cortada no filtro de correlacao V3)
var.min,0.005300166561044234,0.8324295985880231,cov.max,Redundante (cortada no filtro de correlacao V3)
cov.skewness,0.005216439972891318,0.9275550450497978,iq_range.kurtosis,Redundante (cortada no filtro de correlacao V3)
iq_range.max,0.005183213341972608,0.8520212653158887,iq_range.sd,Redundante (cortada no filtro de correlacao V3)
best_node.skewness,0.005146368762885139,0.34674022456493525,best_node.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
n4.sd,0.004892646230080281,0.7947545589423709,n4.skewness,Nao escolhida pelo GA (redundante no conjunto)
joint_ent.max,0.004881365630780142,0.7667799869797329,leaves_per_class.max,Nao escolhida pelo GA (redundante no conjunto)
l2.mean,0.004853462598152191,0.8935969201658998,l1.mean,Nao escolhida pelo GA (redundante no conjunto)
attr_ent.sd,0.004842051923980636,0.815592935704468,attr_ent.iq_range,Nao escolhida pelo GA (redundante no conjunto)
n3.skewness,0.004801717354878432,0.8406690310510885,n3.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
range.kurtosis,0.0047884705372453,0.9730413685159818,max.kurtosis,Redundante (cortada no filtro de correlacao V3)
leaves_branch.skewness,0.004720452315039942,0.38433932895854334,nodes_per_level.skewness,Nao escolhida pelo GA (redundante no conjunto)
cov.kurtosis,0.0045249372536308695,0.8976013746045687,iq_range.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
cor.skewness,0.004410614310394853,0.5660072171609745,cor.mean,Nao escolhida pelo GA (redundante no conjunto)
leaves_per_class.iq_range,0.004319122577693557,0.8808401896239818,leaves_per_class.sd,Nao escolhida pelo GA (redundante no conjunto)
one_nn.min,0.004244814641230446,0.9386034189144483,one_nn.mean,Nao escolhida pelo GA (redundante no conjunto)
max.skewness,0.004232143931946886,0.8028171674343735,max.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
cov.mean,0.004197538406022577,0.8350286498436597,cov.max,Redundante (cortada no filtro de correlacao V3)
nodes_repeated.kurtosis,0.004165514972241637,0.8339858441487346,nodes_repeated.skewness,Nao escolhida pelo GA (redundante no conjunto)
kurtosis.median,0.004151698582509903,0.4768173816391636,sparsity.kurtosis,Redundante (cortada no filtro de correlacao V3)
iq_range.mean,0.004137092916642679,0.8443226975761666,cov.max,Redundante (cortada no filtro de correlacao V3)
min.iq_range,0.004136095243394195,0.37454472906200015,sparsity.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
kurtosis.kurtosis,0.004108860948190899,0.8645832012828364,kurtosis.skewness,Nao escolhida pelo GA (redundante no conjunto)
